anio,mes,ElAtazar,ElVado,ElVillar,LaAcena,LaJorosa,LaPinilla,LosMorales,Navacerrada,Navalmedio,Pedrezuela,PuentesViejas,Riosequillo,Santillana,Valmayor,fecha,total
2002,2,254.529,10.127,17.858,12.997,4.783,20.906,1.571,3.374,0.344,6.82,29.685,26.44,35.071,53.928,2002-02-01,478.433
2002,3,247.406,15.33,18.953,14.953,4.618,25.223,1.669,4.475,0.415,10.271,28.86,28.914,40.961,60.689,2002-03-01,502.7370000000001
2002,4,239.428,15.961,17.989,16.345,3.918,30.566,1.75,5.757,0.312,13.228,33.548,30.606,45.697,67.055,2002-04-01,522.1600000000001
2002,5,226.948,12.923,17.453,17.51,2.374,31.994,1.784,6.209,0.374,14.999,35.671,36.321,46.188,69.571,2002-05-01,520.3190000000001
2002,6,218.298,12.511,19.603,12.973,4.143,31.794,1.647,5.807,0.455,13.383,28.089,29.448,41.223,71.615,2002-06-01,490.989
2002,7,203.135,9.305,18.953,7.706,5.258,29.289,1.462,4.977,0.447,10.816,21.409,23.993,33.74,72.803,2002-07-01,443.29299999999995
2002,8,180.346,8.972,18.817,4.094,2.522,26.359,1.265,4.333,0.345,10.696,20.995,22.086,26.441,63.341,2002-08-01,390.612
2002,9,171.08,9.71,13.494,6.758,1.306,22.086,1.144,4.122,0.374,10.723,19.464,18.06,21.73,51.719,2002-09-01,351.7700000000001
2002,10,172.306,14.039,12.155,5.508,1.991,19.015,1.074,4.459,0.416,10.385,17.281,14.389,20.671,51.953,2002-10-01,345.64200000000005
2002,11,182.629,21.154,12.646,7.12,2.135,19.795,1.07,5.788,0.312,11.061,18.911,16.87,26.347,53.131,2002-11-01,378.96899999999994
2002,12,231.821,45.312,13.804,13.352,4.83,23.776,1.35,9.12,0.406,24.249,24.139,22.621,55.403,79.666,2002-12-01,549.849
2003,1,287.666,47.201,18.474,17.131,5.995,25.646,1.716,9.071,0.45,29.732,29.413,30.851,68.79,91.175,2003-01-01,663.3109999999999
2003,2,325.979,48.117,20.46,20.927,5.848,30.215,2.028,8.867,0.519,34.182,35.731,35.613,74.39,99.183,2003-02-01,742.0590000000001
2003,3,366.046,47.952,22.168,23.912,6.078,36.553,2.361,9.673,0.528,37.375,51.78,48.45,82.716,112.451,2003-03-01,848.043
2003,4,391.045,47.693,21.311,23.816,6.111,33.709,2.365,9.103,0.513,35.744,45.906,44.966,81.753,116.154,2003-04-01,860.1890000000001
2003,5,406.556,42.617,21.034,22.771,5.339,33.792,2.338,8.39,0.35,29.017,45.626,44.547,83.298,110.356,2003-05-01,856.0310000000001
2003,6,401.304,26.083,21.258,19.786,5.288,32.723,2.233,6.412,0.283,16.82,42.263,39.668,82.426,96.473,2003-06-01,793.02
2003,7,378.406,19.32,21.351,14.753,5.957,29.789,2.022,4.545,0.315,8.305,39.111,36.295,77.138,88.936,2003-07-01,726.243
2003,8,349.27,14.931,20.89,10.963,5.493,26.575,1.798,3.796,0.323,8.187,38.391,35.89,68.615,87.603,2003-08-01,672.7249999999999
2003,9,326.426,11.043,16.764,9.135,4.66,22.248,1.652,3.281,0.333,8.352,37.133,34.159,62.08,86.627,2003-09-01,623.8929999999999
2003,10,315.187,13.324,13.586,9.976,4.735,22.543,1.713,3.825,0.377,13.453,36.282,32.987,63.16,85.491,2003-10-01,616.639
2003,11,316.678,32.004,21.724,14.84,5.593,27.341,1.707,6.559,0.335,32.759,39.576,36.016,73.756,99.055,2003-11-01,707.943
2003,12,323.749,44.882,20.357,22.687,5.519,33.255,1.901,8.579,0.512,34.071,42.62,38.536,75.94,118.185,2003-12-01,770.7930000000001
2004,1,327.949,44.927,21.457,23.298,5.827,32.156,1.958,9.145,0.512,34.182,42.311,42.239,76.124,118.55,2004-01-01,780.6350000000001
2004,2,329.027,44.949,21.338,23.519,5.545,32.642,2.047,8.981,0.512,34.588,43.853,43.279,78.067,119.137,2004-02-01,787.4839999999999
2004,3,350.672,46.227,21.311,23.562,6.433,33.875,2.224,9.36,0.515,36.196,45.17,44.309,80.703,118.039,2004-03-01,818.5959999999999
2004,4,374.777,44.096,18.547,23.371,6.184,33.833,2.345,9.394,0.499,36.234,45.626,44.966,83.394,119.43,2004-04-01,842.6960000000001
2004,5,407.384,46.25,18.928,23.71,6.45,34.628,2.335,9.905,0.515,37.489,48.155,46.087,84.076,121.726,2004-05-01,887.638
2004,6,417.52,34.382,14.16,22.363,5.751,33.916,2.204,8.754,0.36,28.379,47.782,42.699,79.284,111.26,2004-06-01,848.814
2004,7,406.763,15.462,13.556,18.641,5.545,31.554,1.997,6.702,0.393,19.277,45.397,41.812,71.962,99.183,2004-07-01,778.244
2004,8,383.845,7.653,12.875,15.11,5.789,28.568,1.798,5.337,0.408,18.928,43.244,40.854,66.116,86.685,2004-08-01,717.21
2004,9,352.359,6.641,12.636,13.581,4.811,25.646,1.647,4.244,0.41,18.756,41.465,38.111,60.191,74.715,2004-09-01,655.2130000000001
2004,10,327.321,8.912,13.026,12.973,4.458,25.752,1.603,4.275,0.338,18.732,40.888,37.585,59.865,69.909,2004-10-01,625.6370000000001
2004,11,311.35,8.41,17.977,12.853,5.053,27.969,1.553,4.903,0.31,15.915,39.889,36.27,58.411,74.411,2004-11-01,615.2740000000001
